customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^PARTITIONKEY^|^first_offer
82123600^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541250^|^13013250^|^9123461^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541250^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123601^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541251^|^13013251^|^9123462^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541251^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123602^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541252^|^13013252^|^9123463^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541252^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123603^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541253^|^13013253^|^9123464^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541253^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123604^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541254^|^13013254^|^9123465^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541254^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123605^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541255^|^13013255^|^9123466^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541255^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123606^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541256^|^13013256^|^9123467^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541256^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123607^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541257^|^13013257^|^9123468^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541257^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123608^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541258^|^13013258^|^9123469^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541258^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
82123609^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541259^|^13013259^|^9123470^|^20170421^|^T12^|^T1235^|^T1236^|^T1237^|^30541259^|^902845^|^1214576^|^27^|^41^|^97^|^20180904^|^20201230^|^1234567^|^RG^|^rg^|^MMC^|^19880615^|^5678^|^Red Internet
