customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^first_offer^|^email_address^|^mobile_number^|^fullname^|^prefix_txt^|^cust_segment_cd
45189091^|^0^|^0^|^0^|^1^|^0^|^ORG^|^1130541250^|^13013419^|^9123461^|^20161015^|^T12^|^T1235^|^T1236^|^T1237^|^30541220^|^47^|^1214576^|^47^|^47^|^97^|^20180202^|^20201230^|^1461200001309003249109397810606940^|^I^|^rg^|^MMC^|^19810113^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189092^|^1^|^1^|^1^|^1^|^0^|^IND^|^1130541251^|^13013420^|^9123462^|^20170311^|^T12^|^T1235^|^T1236^|^T1237^|^30541221^|^48^|^1214577^|^48^|^48^|^98^|^20180609^|^20201230^|^1461200001309003249109397810606941^|^I^|^rg^|^MMO^|^19820715^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189093^|^1^|^1^|^1^|^0^|^0^|^IND^|^1130541252^|^13013421^|^9123463^|^20161218^|^T12^|^T1235^|^T1236^|^T1237^|^30541222^|^49^|^1214578^|^49^|^49^|^99^|^20180917^|^20201230^|^1461200001309003249109397810606942^|^I^|^rg^|^MMO^|^19890312^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR
45189094^|^0^|^1^|^1^|^0^|^1^|^IND^|^1130541253^|^13013422^|^9123464^|^20170302^|^T12^|^T1235^|^T1236^|^T1237^|^30541223^|^50^|^1214579^|^50^|^50^|^100^|^20180403^|^20201230^|^1461200001309003249109397810606943^|^RG^|^rg^|^MMC^|^19851119^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189095^|^1^|^1^|^1^|^0^|^1^|^IND^|^1130541254^|^13013423^|^9123465^|^20161030^|^T12^|^T1235^|^T1236^|^T1237^|^30541224^|^51^|^1214580^|^51^|^51^|^101^|^20181015^|^20201230^|^1461200001309003249109397810606944^|^B^|^rg^|^MMO^|^19920501^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189096^|^1^|^0^|^1^|^1^|^1^|^ORG^|^1130541255^|^13013424^|^9123466^|^20160927^|^T12^|^T1235^|^T1236^|^T1237^|^30541225^|^52^|^1214581^|^52^|^52^|^102^|^20180121^|^20201230^|^1461200001309003249109397810606945^|^I^|^rg^|^MMO^|^19830408^|^fo^|^abc^|^96^|^fn^|^MMC^|^PR
45189097^|^1^|^0^|^0^|^0^|^1^|^IND^|^1130541256^|^13013425^|^9123467^|^20160526^|^T12^|^T1235^|^T1236^|^T1237^|^30541226^|^53^|^1214582^|^53^|^53^|^103^|^20180622^|^20201230^|^1461200001309003249109397810606946^|^RG^|^rg^|^MMC^|^20080816^|^fo^|^adc^|^96^|^fn^|^MMO^|^PR
45189098^|^1^|^0^|^1^|^0^|^1^|^ORG^|^1130541257^|^13013426^|^9123468^|^20160425^|^T12^|^T1235^|^T1236^|^T1237^|^30541227^|^54^|^1214583^|^54^|^54^|^104^|^20180712^|^20201230^|^1461200001309003249109397810606947^|^I^|^rg^|^MMO^|^20100307^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189099^|^0^|^0^|^0^|^0^|^1^|^ORG^|^1130541258^|^13013427^|^9123469^|^20160619^|^T12^|^T1235^|^T1236^|^T1237^|^30541228^|^55^|^1214584^|^55^|^55^|^105^|^20181110^|^20201230^|^1461200001309003249109397810606948^|^B^|^rg^|^MMO^|^19841115^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR
45189100^|^0^|^0^|^1^|^0^|^1^|^IND^|^1130541259^|^13013428^|^9123470^|^20170520^|^T12^|^T1235^|^T1236^|^T1237^|^30541229^|^56^|^1214585^|^56^|^56^|^106^|^20181210^|^20201230^|^1461200001309003249109397810606949^|^I^|^rg^|^MMO^|^19831012^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR
45189101^|^0^|^1^|^0^|^0^|^0^|^ORG^|^1130541260^|^13013429^|^9123471^|^20161005^|^T12^|^T1235^|^T1236^|^T1237^|^30541230^|^57^|^1214586^|^57^|^57^|^107^|^20180904^|^20201230^|^1461200001309003249109397810606950^|^B^|^rg^|^MMO^|^20110406^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189102^|^0^|^1^|^0^|^0^|^1^|^IND^|^1130541261^|^13013430^|^9123472^|^20170429^|^T12^|^T1235^|^T1236^|^T1237^|^30541231^|^58^|^1214587^|^58^|^58^|^108^|^20180208^|^20201230^|^1461200001309003249109397810606951^|^RG^|^rg^|^MMO^|^19880301^|^fo^|^abc^|^98^|^fn^|^MMO^|^PR
45189103^|^1^|^0^|^0^|^1^|^1^|^IND^|^1130541262^|^13013431^|^9123473^|^20160421^|^T12^|^T1235^|^T1236^|^T1237^|^30541232^|^59^|^1214588^|^59^|^59^|^109^|^20180730^|^20201230^|^1461200001309003249109397810606952^|^RG^|^rg^|^MMC^|^19871223^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR
