customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^first_offer^|^email_address^|^mobile_number^|^fullname^|^prefix_txt^|^cust_segment_cd^|^is_churned_cust
46189091^|^1^|^1^|^1^|^0^|^0^|^ORG^|^1130541250^|^13013419^|^9123461^|^20160823^|^T12^|^T1235^|^T1236^|^T1237^|^30541220^|^47^|^1214576^|^47^|^47^|^97^|^20180204^|^20201230^|^1461200001309003249109397810606940^|^B^|^rg^|^MMO^|^19840831^|^fo^|^abc^|^96^|^fn^|^MMO^|^PR^|^1
46189092^|^1^|^1^|^0^|^0^|^0^|^IND^|^1130541251^|^13013420^|^9123462^|^20170407^|^T12^|^T1235^|^T1236^|^T1237^|^30541221^|^48^|^1214577^|^48^|^48^|^98^|^20180104^|^20201230^|^1461200001309003249109397810606941^|^RG^|^rg^|^MMC^|^19880212^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189093^|^1^|^0^|^0^|^0^|^1^|^IND^|^1130541252^|^13013421^|^9123463^|^20161106^|^T12^|^T1235^|^T1236^|^T1237^|^30541222^|^49^|^1214578^|^49^|^49^|^99^|^20180620^|^20201230^|^1461200001309003249109397810606942^|^B^|^rg^|^MMC^|^19890706^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189094^|^0^|^0^|^0^|^1^|^0^|^IND^|^1130541253^|^13013422^|^9123464^|^20170715^|^T12^|^T1235^|^T1236^|^T1237^|^30541223^|^50^|^1214579^|^50^|^50^|^100^|^20180617^|^20201230^|^1461200001309003249109397810606943^|^RG^|^rg^|^MMO^|^19990909^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189095^|^1^|^0^|^1^|^0^|^1^|^IND^|^1130541254^|^13013423^|^9123465^|^20170115^|^T12^|^T1235^|^T1236^|^T1237^|^30541224^|^51^|^1214580^|^51^|^51^|^101^|^20180309^|^20201230^|^1461200001309003249109397810606944^|^I^|^rg^|^MMO^|^20050628^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189096^|^0^|^0^|^1^|^1^|^1^|^ORG^|^1130541255^|^13013424^|^9123466^|^20160425^|^T12^|^T1235^|^T1236^|^T1237^|^30541225^|^52^|^1214581^|^52^|^52^|^102^|^20181001^|^20201230^|^1461200001309003249109397810606945^|^RG^|^rg^|^MMO^|^19900420^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189097^|^0^|^0^|^1^|^0^|^0^|^IND^|^1130541256^|^13013425^|^9123467^|^20161005^|^T12^|^T1235^|^T1236^|^T1237^|^30541226^|^53^|^1214582^|^53^|^53^|^103^|^20180223^|^20201230^|^1461200001309003249109397810606946^|^RG^|^rg^|^MMO^|^19890402^|^fo^|^adc^|^96^|^fn^|^MMC^|^PR^|^1
46189098^|^0^|^1^|^0^|^0^|^1^|^ORG^|^1130541257^|^13013426^|^9123468^|^20160404^|^T12^|^T1235^|^T1236^|^T1237^|^30541227^|^54^|^1214583^|^54^|^54^|^104^|^20180511^|^20201230^|^1461200001309003249109397810606947^|^RG^|^rg^|^MMO^|^20060602^|^fo^|^adc^|^98^|^fn^|^MMC^|^PR^|^1
46189099^|^0^|^0^|^0^|^0^|^0^|^ORG^|^1130541258^|^13013427^|^9123469^|^20161223^|^T12^|^T1235^|^T1236^|^T1237^|^30541228^|^55^|^1214584^|^55^|^55^|^105^|^20181010^|^20201230^|^1461200001309003249109397810606948^|^I^|^rg^|^MMO^|^19951223^|^fo^|^abc^|^98^|^fn^|^MMC^|^PR^|^1
46189100^|^0^|^1^|^1^|^0^|^0^|^ORG^|^1130541259^|^13013428^|^9123470^|^20160915^|^T12^|^T1235^|^T1236^|^T1237^|^30541229^|^56^|^1214585^|^56^|^56^|^106^|^20180330^|^20201230^|^1461200001309003249109397810606949^|^I^|^rg^|^MMC^|^20000612^|^fo^|^adc^|^98^|^fn^|^MMO^|^PR^|^1
