name^|^value^|^priority^|^customer_id^|^subscr_id^|^household_id^|^building_id
Muller^|^1^|^1^|^45189091^|^47^|^47^|^47
SAHANA^|^0^|^2^|^45189092^|^48^|^48^|^48
SAHANA^|^1^|^3^|^45189093^|^49^|^49^|^49
SAHANA^|^1^|^4^|^45189094^|^50^|^50^|^50
SAHANA^|^0^|^5^|^45189095^|^51^|^51^|^51
Muller^|^0^|^6^|^45189096^|^52^|^52^|^52
Muller^|^0^|^7^|^45189097^|^53^|^53^|^53
SAHANA^|^1^|^8^|^45189098^|^54^|^54^|^54
Muller^|^0^|^9^|^45189099^|^55^|^55^|^55
Muller^|^1^|^10^|^45189100^|^56^|^56^|^56
SAHANA^|^1^|^11^|^45189101^|^57^|^57^|^57
SAHANA^|^0^|^12^|^45189102^|^58^|^58^|^58
Muller^|^0^|^13^|^45189103^|^59^|^59^|^59
SAHANA^|^1^|^14^|^45189104^|^60^|^60^|^60
Muller^|^0^|^15^|^45189105^|^61^|^61^|^61
SAHANA^|^0^|^16^|^45189106^|^62^|^62^|^62
SAHANA^|^0^|^17^|^45189107^|^63^|^63^|^63
Muller^|^1^|^18^|^45189108^|^64^|^64^|^64
Muller^|^0^|^19^|^45189109^|^65^|^65^|^65
Muller^|^1^|^20^|^45189110^|^66^|^66^|^66
Muller^|^0^|^21^|^45189111^|^67^|^67^|^67
SAHANA^|^0^|^22^|^45189112^|^68^|^68^|^68
Muller^|^1^|^23^|^45189113^|^69^|^69^|^69
Muller^|^0^|^24^|^45189114^|^70^|^70^|^70
Muller^|^0^|^25^|^45189115^|^71^|^71^|^71
SAHANA^|^1^|^26^|^45189116^|^72^|^72^|^72
Muller^|^0^|^27^|^45189117^|^73^|^73^|^73
Muller^|^1^|^28^|^45189118^|^74^|^74^|^74
Muller^|^1^|^29^|^45189119^|^75^|^75^|^75
Muller^|^1^|^30^|^45189120^|^76^|^76^|^76
SAHANA^|^1^|^31^|^45189121^|^77^|^77^|^77
Muller^|^1^|^32^|^45189122^|^78^|^78^|^78
Muller^|^0^|^33^|^45189123^|^79^|^79^|^79
Muller^|^1^|^34^|^45189124^|^80^|^80^|^80
Muller^|^0^|^35^|^45189125^|^81^|^81^|^81
Muller^|^0^|^36^|^45189126^|^82^|^82^|^82
SAHANA^|^1^|^37^|^45189127^|^83^|^83^|^83
SAHANA^|^0^|^38^|^45189128^|^84^|^84^|^84
SAHANA^|^1^|^39^|^45189129^|^85^|^85^|^85
SAHANA^|^0^|^40^|^45189130^|^86^|^86^|^86
Muller^|^1^|^41^|^45189131^|^87^|^87^|^87
SAHANA^|^1^|^42^|^45189132^|^88^|^88^|^88
SAHANA^|^1^|^43^|^45189133^|^89^|^89^|^89
SAHANA^|^0^|^44^|^45189134^|^90^|^90^|^90
SAHANA^|^1^|^45^|^45189135^|^91^|^91^|^91
SAHANA^|^0^|^46^|^45189136^|^92^|^92^|^92
SAHANA^|^0^|^47^|^45189137^|^93^|^93^|^93
SAHANA^|^0^|^48^|^45189138^|^94^|^94^|^94
Muller^|^0^|^49^|^45189139^|^95^|^95^|^95
SAHANA^|^0^|^50^|^45189140^|^96^|^96^|^96
Muller^|^0^|^51^|^45189141^|^97^|^97^|^97
SAHANA^|^1^|^52^|^45189142^|^98^|^98^|^98
Muller^|^1^|^53^|^45189143^|^99^|^99^|^99
SAHANA^|^0^|^54^|^45189144^|^100^|^100^|^100
Muller^|^1^|^55^|^45189145^|^101^|^101^|^101
Muller^|^0^|^56^|^45189146^|^102^|^102^|^102
Muller^|^0^|^57^|^45189147^|^103^|^103^|^103
Muller^|^0^|^58^|^45189148^|^104^|^104^|^104
SAHANA^|^1^|^59^|^45189149^|^105^|^105^|^105
SAHANA^|^1^|^60^|^45189150^|^106^|^106^|^106
Muller^|^1^|^61^|^45189151^|^107^|^107^|^107
SAHANA^|^0^|^62^|^45189152^|^108^|^108^|^108
Muller^|^0^|^63^|^45189153^|^109^|^109^|^109
Muller^|^0^|^64^|^45189154^|^110^|^110^|^110
SAHANA^|^0^|^65^|^45189155^|^111^|^111^|^111
SAHANA^|^1^|^66^|^45189156^|^112^|^112^|^112
Muller^|^1^|^67^|^45189157^|^113^|^113^|^113
SAHANA^|^1^|^68^|^45189158^|^114^|^114^|^114
Muller^|^1^|^69^|^45189159^|^115^|^115^|^115
Muller^|^1^|^70^|^45189160^|^116^|^116^|^116
Muller^|^0^|^71^|^45189161^|^117^|^117^|^117
SAHANA^|^0^|^72^|^45189162^|^118^|^118^|^118
SAHANA^|^1^|^73^|^45189163^|^119^|^119^|^119
Muller^|^0^|^74^|^45189164^|^120^|^120^|^120
Muller^|^0^|^75^|^45189165^|^121^|^121^|^121
Muller^|^1^|^76^|^45189166^|^122^|^122^|^122
Muller^|^0^|^77^|^45189167^|^123^|^123^|^123
SAHANA^|^0^|^78^|^45189168^|^124^|^124^|^124
SAHANA^|^1^|^79^|^45189169^|^125^|^125^|^125
Muller^|^0^|^80^|^45189170^|^126^|^126^|^126
SAHANA^|^0^|^81^|^45189171^|^127^|^127^|^127
Muller^|^1^|^82^|^45189172^|^128^|^128^|^128
SAHANA^|^1^|^83^|^45189173^|^129^|^129^|^129
SAHANA^|^1^|^84^|^45189174^|^130^|^130^|^130
SAHANA^|^0^|^85^|^45189175^|^131^|^131^|^131
Muller^|^1^|^86^|^45189176^|^132^|^132^|^132
Muller^|^1^|^87^|^45189177^|^133^|^133^|^133
SAHANA^|^1^|^88^|^45189178^|^134^|^134^|^134
SAHANA^|^0^|^89^|^45189179^|^135^|^135^|^135
Muller^|^0^|^90^|^45189180^|^136^|^136^|^136
SAHANA^|^0^|^91^|^45189181^|^137^|^137^|^137
SAHANA^|^0^|^92^|^45189182^|^138^|^138^|^138
Muller^|^0^|^93^|^45189183^|^139^|^139^|^139
Muller^|^0^|^94^|^45189184^|^140^|^140^|^140
SAHANA^|^0^|^95^|^45189185^|^141^|^141^|^141
SAHANA^|^0^|^96^|^45189186^|^142^|^142^|^142
Muller^|^0^|^97^|^45189187^|^143^|^143^|^143
Muller^|^0^|^98^|^45189188^|^144^|^144^|^144
SAHANA^|^0^|^99^|^45189189^|^145^|^145^|^145
SAHANA^|^0^|^100^|^45189190^|^146^|^146^|^146
SAHANA^|^0^|^101^|^45189191^|^147^|^147^|^147
Muller^|^0^|^102^|^45189192^|^148^|^148^|^148
SAHANA^|^0^|^103^|^45189193^|^149^|^149^|^149
SAHANA^|^1^|^104^|^45189194^|^150^|^150^|^150
Muller^|^0^|^105^|^45189195^|^151^|^151^|^151
Muller^|^0^|^106^|^45189196^|^152^|^152^|^152
Muller^|^0^|^107^|^45189197^|^153^|^153^|^153
SAHANA^|^1^|^108^|^45189198^|^154^|^154^|^154
Muller^|^0^|^109^|^45189199^|^155^|^155^|^155
SAHANA^|^0^|^110^|^45189200^|^156^|^156^|^156
SAHANA^|^1^|^111^|^45189201^|^157^|^157^|^157
Muller^|^1^|^112^|^45189202^|^158^|^158^|^158
SAHANA^|^0^|^113^|^45189203^|^159^|^159^|^159
Muller^|^0^|^114^|^45189204^|^160^|^160^|^160
SAHANA^|^0^|^115^|^45189205^|^161^|^161^|^161
Muller^|^1^|^116^|^45189206^|^162^|^162^|^162
Muller^|^1^|^117^|^45189207^|^163^|^163^|^163
SAHANA^|^0^|^118^|^45189208^|^164^|^164^|^164
Muller^|^1^|^119^|^45189209^|^165^|^165^|^165
SAHANA^|^1^|^120^|^45189210^|^166^|^166^|^166
Muller^|^1^|^121^|^45189211^|^167^|^167^|^167
SAHANA^|^1^|^122^|^45189212^|^168^|^168^|^168
Muller^|^1^|^123^|^45189213^|^169^|^169^|^169
Muller^|^1^|^124^|^45189214^|^170^|^170^|^170
Muller^|^1^|^125^|^45189215^|^171^|^171^|^171
SAHANA^|^1^|^126^|^45189216^|^172^|^172^|^172
SAHANA^|^1^|^127^|^45189217^|^173^|^173^|^173
SAHANA^|^0^|^128^|^45189218^|^174^|^174^|^174
Muller^|^1^|^129^|^45189219^|^175^|^175^|^175
Muller^|^1^|^130^|^45189220^|^176^|^176^|^176
SAHANA^|^0^|^131^|^45189221^|^177^|^177^|^177
Muller^|^1^|^132^|^45189222^|^178^|^178^|^178
SAHANA^|^1^|^133^|^45189223^|^179^|^179^|^179
SAHANA^|^0^|^134^|^45189224^|^180^|^180^|^180
SAHANA^|^0^|^135^|^45189225^|^181^|^181^|^181
Muller^|^0^|^136^|^45189226^|^182^|^182^|^182
SAHANA^|^1^|^137^|^45189227^|^183^|^183^|^183
Muller^|^0^|^138^|^45189228^|^184^|^184^|^184
Muller^|^0^|^139^|^45189229^|^185^|^185^|^185
Muller^|^0^|^140^|^45189230^|^186^|^186^|^186
SAHANA^|^0^|^141^|^45189231^|^187^|^187^|^187
Muller^|^0^|^142^|^45189232^|^188^|^188^|^188
Muller^|^1^|^143^|^45189233^|^189^|^189^|^189
Muller^|^1^|^144^|^45189234^|^190^|^190^|^190
SAHANA^|^1^|^145^|^45189235^|^191^|^191^|^191
Muller^|^0^|^146^|^45189236^|^192^|^192^|^192
SAHANA^|^0^|^147^|^45189237^|^193^|^193^|^193
Muller^|^1^|^148^|^45189238^|^194^|^194^|^194
SAHANA^|^0^|^149^|^45189239^|^195^|^195^|^195
SAHANA^|^1^|^150^|^45189240^|^196^|^196^|^196
Muller^|^1^|^151^|^45189241^|^197^|^197^|^197
SAHANA^|^1^|^152^|^45189242^|^198^|^198^|^198
Muller^|^1^|^153^|^45189243^|^199^|^199^|^199
Muller^|^1^|^154^|^45189244^|^200^|^200^|^200
SAHANA^|^1^|^155^|^45189245^|^201^|^201^|^201
SAHANA^|^0^|^156^|^45189246^|^202^|^202^|^202
Muller^|^1^|^157^|^45189247^|^203^|^203^|^203
Muller^|^0^|^158^|^45189248^|^204^|^204^|^204
SAHANA^|^1^|^159^|^45189249^|^205^|^205^|^205
SAHANA^|^0^|^160^|^45189250^|^206^|^206^|^206
SAHANA^|^0^|^161^|^45189251^|^207^|^207^|^207
Muller^|^0^|^162^|^45189252^|^208^|^208^|^208
Muller^|^0^|^163^|^45189253^|^209^|^209^|^209
Muller^|^1^|^164^|^45189254^|^210^|^210^|^210
SAHANA^|^0^|^165^|^45189255^|^211^|^211^|^211
Muller^|^1^|^166^|^45189256^|^212^|^212^|^212
Muller^|^0^|^167^|^45189257^|^213^|^213^|^213
Muller^|^1^|^168^|^45189258^|^214^|^214^|^214
SAHANA^|^1^|^169^|^45189259^|^215^|^215^|^215
SAHANA^|^0^|^170^|^45189260^|^216^|^216^|^216
SAHANA^|^0^|^171^|^45189261^|^217^|^217^|^217
SAHANA^|^1^|^172^|^45189262^|^218^|^218^|^218
Muller^|^0^|^173^|^45189263^|^219^|^219^|^219
SAHANA^|^1^|^174^|^45189264^|^220^|^220^|^220
Muller^|^0^|^175^|^45189265^|^221^|^221^|^221
SAHANA^|^0^|^176^|^45189266^|^222^|^222^|^222
SAHANA^|^1^|^177^|^45189267^|^223^|^223^|^223
SAHANA^|^0^|^178^|^45189268^|^224^|^224^|^224
SAHANA^|^1^|^179^|^45189269^|^225^|^225^|^225
SAHANA^|^1^|^180^|^45189270^|^226^|^226^|^226
Muller^|^0^|^181^|^45189271^|^227^|^227^|^227
Muller^|^1^|^182^|^45189272^|^228^|^228^|^228
SAHANA^|^1^|^183^|^45189273^|^229^|^229^|^229
Muller^|^0^|^184^|^45189274^|^230^|^230^|^230
SAHANA^|^0^|^185^|^45189275^|^231^|^231^|^231
Muller^|^1^|^186^|^45189276^|^232^|^232^|^232
Muller^|^0^|^187^|^45189277^|^233^|^233^|^233
Muller^|^0^|^188^|^45189278^|^234^|^234^|^234
SAHANA^|^0^|^189^|^45189279^|^235^|^235^|^235
Muller^|^1^|^190^|^45189280^|^236^|^236^|^236
SAHANA^|^1^|^191^|^45189281^|^237^|^237^|^237
SAHANA^|^1^|^192^|^45189282^|^238^|^238^|^238
SAHANA^|^0^|^193^|^45189283^|^239^|^239^|^239
Muller^|^0^|^194^|^45189284^|^240^|^240^|^240
Muller^|^0^|^195^|^45189285^|^241^|^241^|^241
Muller^|^0^|^196^|^45189286^|^242^|^242^|^242
SAHANA^|^1^|^197^|^45189287^|^243^|^243^|^243
SAHANA^|^1^|^198^|^45189288^|^244^|^244^|^244
Muller^|^0^|^199^|^45189289^|^245^|^245^|^245
SAHANA^|^1^|^200^|^45189290^|^246^|^246^|^246
Muller^|^0^|^201^|^45189291^|^247^|^247^|^247
Muller^|^1^|^202^|^45189292^|^248^|^248^|^248
Muller^|^0^|^203^|^45189293^|^249^|^249^|^249
SAHANA^|^1^|^204^|^45189294^|^250^|^250^|^250
Muller^|^1^|^205^|^45189295^|^251^|^251^|^251
Muller^|^0^|^206^|^45189296^|^252^|^252^|^252
SAHANA^|^0^|^207^|^45189297^|^253^|^253^|^253
SAHANA^|^1^|^208^|^45189298^|^254^|^254^|^254
SAHANA^|^0^|^209^|^45189299^|^255^|^255^|^255
Muller^|^0^|^210^|^45189300^|^256^|^256^|^256
Muller^|^0^|^211^|^45189301^|^257^|^257^|^257
SAHANA^|^0^|^212^|^45189302^|^258^|^258^|^258
SAHANA^|^1^|^213^|^45189303^|^259^|^259^|^259
SAHANA^|^0^|^214^|^45189304^|^260^|^260^|^260
SAHANA^|^1^|^215^|^45189305^|^261^|^261^|^261
SAHANA^|^0^|^216^|^45189306^|^262^|^262^|^262
Muller^|^0^|^217^|^45189307^|^263^|^263^|^263
SAHANA^|^0^|^218^|^45189308^|^264^|^264^|^264
SAHANA^|^1^|^219^|^45189309^|^265^|^265^|^265
Muller^|^1^|^220^|^45189310^|^266^|^266^|^266
Muller^|^0^|^221^|^45189311^|^267^|^267^|^267
Muller^|^0^|^222^|^45189312^|^268^|^268^|^268
SAHANA^|^1^|^223^|^45189313^|^269^|^269^|^269
SAHANA^|^1^|^224^|^45189314^|^270^|^270^|^270
Muller^|^0^|^225^|^45189315^|^271^|^271^|^271
Muller^|^1^|^226^|^45189316^|^272^|^272^|^272
SAHANA^|^0^|^227^|^45189317^|^273^|^273^|^273
SAHANA^|^1^|^228^|^45189318^|^274^|^274^|^274
Muller^|^1^|^229^|^45189319^|^275^|^275^|^275
Muller^|^1^|^230^|^45189320^|^276^|^276^|^276
SAHANA^|^0^|^231^|^45189321^|^277^|^277^|^277
Muller^|^1^|^232^|^45189322^|^278^|^278^|^278
