ubscr_id^|^subscr_valid_from_dt^|^subscr_valid_until_dt^|^subscr_eff_dt^|^subscr_ident_type_cd^|^subscr_status_dt^|^subscr_status_cd^|^subscr_stat_rsn_cd^|^subscr_bundle_categ_cd^|^subscr_orig_lob_cd^|^subscr_mark_cd^|^subscr_mob_nr^|^subscr_elcmpy_name^|^business_segment^|^acc_num^|^acc_name^|^acc_valid_from^|^acc_valid_until^|^acc_lob^|^acc_bus_seg_cd^|^market_code^|^account_status_dt^|^account_status_cd^|^account_status_rsn_cd^|^subcr_port_valid_from_dt^|^subcr_port_valid_until_dt^|^contr_id^|^customer_id^|^subscr_mob_client_nr^|^subscr_advert_ind^|^subscr_subsd_handset_int^|^subscr_cons_camp_sale_chn_name^|^subscr_cons_camp_sale_org_name^|^subscr_handset_subs_potent_cd^|^subscr_activating_sale_org_id^|^subscr_perform_sale_org_id^|^subscr_assigned_sale_org_id^|^subscr_original_sale_org_id^|^subscr_servicing_sale_org_id^|^subscr_reporting_sale_org_id^|^account_current_root_ban^|^subscr_grc_level_2
47^|^20230602^|^20230723^|^20170917^|^wsub^|^20170516^|^20170521^|^as^|^10^|^unknown^|^MMO^|^GSM1721234567^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230624^|^20230112^|^cable^|^s^|^PUC^|^20230505^|^as^|^as^|^20230612^|^20230605^|^47^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^47^|^47^|^47^|^47^|^47^|^47^|^as^|^as
48^|^20230325^|^20230218^|^20161205^|^wsub^|^20170323^|^20170516^|^as^|^5001^|^unknown^|^WLN^|^GSM1721234568^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20221218^|^20230624^|^wireline^|^s^|^MMO^|^20230312^|^as^|^as^|^20230221^|^20230305^|^48^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^48^|^48^|^48^|^48^|^48^|^48^|^as^|^as
49^|^20230508^|^20221208^|^20171013^|^csub^|^20170513^|^20161230^|^as^|^5001^|^mobile^|^MMC^|^GSM1721234569^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230615^|^20231031^|^wireline^|^s^|^MMO^|^20230816^|^as^|^as^|^20230117^|^20230621^|^49^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^green^|^49^|^49^|^49^|^49^|^49^|^49^|^as^|^as
50^|^20230403^|^20221202^|^20171102^|^csub^|^20170711^|^20161126^|^as^|^111^|^cable^|^CAB^|^GSM1721234570^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20231018^|^20230808^|^cable^|^s^|^CBL^|^20230724^|^as^|^as^|^20230312^|^20230618^|^50^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^50^|^50^|^50^|^50^|^50^|^50^|^as^|^as
51^|^20230323^|^20230404^|^20170818^|^wsub^|^20170501^|^20170521^|^as^|^5010^|^cable^|^PUC^|^GSM1721234571^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20231018^|^20231005^|^mobile^|^s^|^CBL^|^20231114^|^as^|^as^|^20231003^|^20230606^|^51^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^51^|^51^|^51^|^51^|^51^|^51^|^as^|^as
52^|^20230204^|^20230708^|^20170307^|^wsub^|^20170129^|^20171102^|^as^|^10^|^wireline^|^PUC^|^GSM1721234572^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230816^|^20230917^|^wireline^|^s^|^MMO^|^20230322^|^as^|^as^|^20230507^|^20230223^|^52^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^52^|^52^|^52^|^52^|^52^|^52^|^as^|^as
53^|^20231014^|^20230227^|^20171017^|^csub^|^20170817^|^20170128^|^as^|^101^|^wireline^|^MMO^|^GSM1721234573^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230217^|^20221123^|^wireline^|^s^|^PUA^|^20231014^|^as^|^as^|^20230413^|^20230320^|^53^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^53^|^53^|^53^|^53^|^53^|^53^|^as^|^as
54^|^20221208^|^20231114^|^20170424^|^cid^|^20170902^|^20170913^|^as^|^100^|^unknown^|^PUC^|^GSM1721234574^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230615^|^20230130^|^wireline^|^s^|^MMO^|^20230907^|^as^|^as^|^20230818^|^20231024^|^54^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^green^|^54^|^54^|^54^|^54^|^54^|^54^|^as^|^as
55^|^20221224^|^20221210^|^20170427^|^cid^|^20170527^|^20170520^|^as^|^110^|^wireline^|^MMO^|^GSM1721234575^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20221228^|^20230927^|^wireline^|^s^|^PUC^|^20230518^|^as^|^as^|^20230925^|^20231102^|^55^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^green^|^55^|^55^|^55^|^55^|^55^|^55^|^as^|^as
56^|^20231113^|^20230613^|^20170414^|^csub^|^20170206^|^20171021^|^as^|^111^|^unknown^|^WLN^|^GSM1721234576^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20231104^|^20230428^|^wireline^|^s^|^PUA^|^20230907^|^as^|^as^|^20230115^|^20230604^|^56^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^red^|^56^|^56^|^56^|^56^|^56^|^56^|^as^|^as
57^|^20230224^|^20230105^|^20170715^|^wsub^|^20170706^|^20170111^|^as^|^110^|^unknown^|^CAB^|^GSM1721234577^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230524^|^20230522^|^mobile^|^s^|^PUA^|^20231007^|^as^|^as^|^20221221^|^20230727^|^57^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^green^|^57^|^57^|^57^|^57^|^57^|^57^|^as^|^as
58^|^20230403^|^20221205^|^20161216^|^csub^|^20170123^|^20170919^|^as^|^11^|^wireline^|^PUA^|^GSM1721234578^|^VodafoneGermanyGmbH^|^as^|^as^|^as^|^20230312^|^20231112^|^wireline^|^s^|^FLN^|^20230902^|^as^|^as^|^20230115^|^20230412^|^58^|^23415^|^as^|^0^|^0^|^Vertriebsbeauftragte^|^ConradElectronicSE^|^yellow^|^58^|^58^|^58^|^58^|^58^|^58^|^as^|^as
@
