customer_id^|^is_mobile_customer^|^is_cable_customer^|^is_dsl_customer^|^is_prospect^|^is_building^|^cust_sub_type_cd^|^mobile_ban^|^dsl_customer_number^|^cab_accnt_nr^|^cust_status_dt^|^cust_status_cd^|^cust_stat_rsn_cd^|^cust_lob^|^cab_pers_id_cab_me^|^cable_customer_number^|^cab_building_id^|^convergent_person_id^|^household_id^|^building_id^|^legacy_customer_id^|^cust_valid_from_dt^|^cust_valid_until_dt^|^legacy_kgs44_id^|^account_type^|^account_sub_type^|^market_code^|^birthday^|^partitionkey^|^first_offer^|^email_address^|^mobile_number^|^fullname^|^prefix_txt
45189091^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541250^|^13013419^|^9123461^|^20160916^|^T12^|^T1235^|^T1236^|^T1237^|^30541220^|^902845^|^1214576^|^27^|^41^|^97^|^20180930^|^20201230^|^1461200001309003249109397810606940^|^B^|^rg^|^MMC^|^19880303^|^42^|^fo^|^adc^|^98^|^fn^|^MMO
45189092^|^1^|^1^|^1^|^1^|^1^|^ORG^|^1130541251^|^13013420^|^9123462^|^20170422^|^T12^|^T1235^|^T1236^|^T1237^|^30541221^|^902846^|^1214577^|^28^|^42^|^98^|^20180224^|^20201230^|^1461200001309003249109397810606941^|^B^|^rg^|^MMC^|^20100514^|^43^|^fo^|^abc^|^96^|^fn^|^MMO
45189093^|^1^|^0^|^1^|^1^|^1^|^ORG^|^1130541252^|^13013421^|^9123463^|^20160629^|^T12^|^T1235^|^T1236^|^T1237^|^30541222^|^902847^|^1214578^|^29^|^43^|^99^|^20180506^|^20201230^|^1461200001309003249109397810606942^|^I^|^rg^|^MMO^|^20040708^|^44^|^fo^|^abc^|^96^|^fn^|^MMC
45189094^|^1^|^1^|^1^|^1^|^0^|^ORG^|^1130541253^|^13013422^|^9123464^|^20170228^|^T12^|^T1235^|^T1236^|^T1237^|^30541223^|^902848^|^1214579^|^30^|^44^|^100^|^20181219^|^20201230^|^1461200001309003249109397810606943^|^B^|^rg^|^MMO^|^19811116^|^45^|^fo^|^adc^|^98^|^fn^|^MMC
45189095^|^1^|^0^|^0^|^1^|^0^|^IND^|^1130541254^|^13013423^|^9123465^|^20170210^|^T12^|^T1235^|^T1236^|^T1237^|^30541224^|^902849^|^1214580^|^31^|^45^|^101^|^20181024^|^20201230^|^1461200001309003249109397810606944^|^I^|^rg^|^MMC^|^19820218^|^46^|^fo^|^adc^|^96^|^fn^|^MMO
45189096^|^1^|^0^|^1^|^0^|^1^|^IND^|^1130541255^|^13013424^|^9123466^|^20170107^|^T12^|^T1235^|^T1236^|^T1237^|^30541225^|^902850^|^1214581^|^32^|^46^|^102^|^20180930^|^20201230^|^1461200001309003249109397810606945^|^RG^|^rg^|^MMC^|^19931013^|^47^|^fo^|^abc^|^96^|^fn^|^MMC
45189097^|^0^|^0^|^0^|^1^|^1^|^ORG^|^1130541256^|^13013425^|^9123467^|^20161214^|^T12^|^T1235^|^T1236^|^T1237^|^30541226^|^902851^|^1214582^|^33^|^47^|^103^|^20181118^|^20201230^|^1461200001309003249109397810606946^|^RG^|^rg^|^MMO^|^19891104^|^48^|^fo^|^abc^|^98^|^fn^|^MMC
45189098^|^1^|^1^|^0^|^0^|^1^|^ORG^|^1130541257^|^13013426^|^9123468^|^20170530^|^T12^|^T1235^|^T1236^|^T1237^|^30541227^|^902852^|^1214583^|^34^|^48^|^104^|^20180616^|^20201230^|^1461200001309003249109397810606947^|^RG^|^rg^|^MMO^|^19850523^|^49^|^fo^|^abc^|^98^|^fn^|^MMC
45189099^|^0^|^1^|^1^|^1^|^0^|^ORG^|^1130541258^|^13013427^|^9123469^|^20160407^|^T12^|^T1235^|^T1236^|^T1237^|^30541228^|^902853^|^1214584^|^35^|^49^|^105^|^20180818^|^20201230^|^1461200001309003249109397810606948^|^B^|^rg^|^MMO^|^19840727^|^50^|^fo^|^abc^|^96^|^fn^|^MMO
45189100^|^1^|^0^|^1^|^0^|^0^|^IND^|^1130541259^|^13013428^|^9123470^|^20160722^|^T12^|^T1235^|^T1236^|^T1237^|^30541229^|^902854^|^1214585^|^36^|^50^|^106^|^20180111^|^20201230^|^1461200001309003249109397810606949^|^RG^|^rg^|^MMC^|^19990217^|^51^|^fo^|^abc^|^96^|^fn^|^MMC
45189101^|^0^|^0^|^1^|^0^|^1^|^ORG^|^1130541260^|^13013429^|^9123471^|^20170722^|^T12^|^T1235^|^T1236^|^T1237^|^30541230^|^902855^|^1214586^|^37^|^51^|^107^|^20181010^|^20201230^|^1461200001309003249109397810606950^|^B^|^rg^|^MMC^|^19940202^|^52^|^fo^|^abc^|^98^|^fn^|^MMC
